Nadsat,English,Word origin
appy polly loggies,apologies,"Highly exaggerated pronunciation of apologies – Burgess's homage to James 
Joyce's ALP in *Finnegans Wake*"
auto,car,"Short for automobile; mirrors the usage in Russian: see авто(avto). Not 
exclusively Nadsat."
baboochka,old woman,"бабушка(babuška, literally “grandmother”)"
baddiwad,bad,Reduplication of *bad**Young child talk*
banda,band,"банда(banda, “gang”)"
barry place,prison,From bars on windows in prisons.
bedways,to bed,—
bezoomny,"mad, crazy",безумный(bezumnyj)
biblio,library,библиотека(biblioteka)
bitva,battle,битва(bitva)
blub,"weep, cry","English slang. Not exclusively Nadsat. From the verb form of the English 
word blubber, often used in a dismissive or insensitive manner, meaning to 
sob or weep noisily."
Bog,God,"бог(bog) (pronounced /box/ (where *x* sounds like *kh*) or (in some 
dialects) /bog/)"
bogman,godman,See section G below
boomaboom,thunder,Onomatopoeia. Reduplication of *boom*
bolnoy,sick,больной(bolʹnoj)
bolshy,"big, great","большой(bolʹšoj); больший(bolʹšij, “larger”). Cf *bolshie*"
"boohoo, boohoohoo",to cry,From the sound that one makes while crying. Not exclusively Nadsat.
boorjoyce,bourgeois,"Burgess' pronunciation of ""bourgeois"". [1]"
bootick,boutique,
"brat, bratty",brother,брат(brat)
bratchny,bastard,"брачный(bračnyj, “matrimonial”), — likely a shortened внебрачный(vnebračnyj, 
“out-of-wedlock”), even though stripping it of the prefix inverts the 
meaning"
britva,razor,бритва(britva)
brooko,belly,брюхо(brjuxo)
"brosay, brosat",to throw,"бросай(brosaj, “throw!”, imperative), бросать(brosatʹ, “to throw”)"
bruiseboys,"police officers, security guards",
bugatties,riches,богатый(bogatyj). Cf also [[
bugatty,rich,"богатый(bogatyj); cf Bugatti, a type of luxury car."
cables,"blood vessels, tendons?, veins",
cal,crap,"кал(kal, “faeces”), sometimes used as an invective as well"
cancer,cigarette,"Short for English slang *cancer stick* from the disease with which heavy 
smoking is most commonly associated"
cantora,office,контора(kontora)
carman,pocket,карман(karman)
chai,tea,"чай(čaj), not exclusively Nadsat."
"charles, charlie",chaplain,A play on Charlie Chaplin. Not exclusively Nadsat.
chasha,cup,"чашка(čaška); чаша(čaša, “large bowl”)"
chasso,guard,часовой(časovoj)
cheena,woman,женщина(ženščina)
cheest,to wash,"чистить(čistitʹ, “to clean”)"
chelloveck,"person, man, fellow","человек(čelovek, “human, man”)"
chepooka,nonsense,чепуха(čepuxa)
choodessny,wonderful,чудесный(čudesnyj)
chumble,to mumble,Blend of *chatter* +‎ *mumble*
cine,"cinema, film",French slang *ciné*; cf кино(kino)
clockwork,mechanically responsive,(See notes)[2]
clop,to knock,"хлопать(xlopatʹ, “clap”); German*klopfen*(“to knock”); onomatopoeia"
cluve,beak,клюв(kljuv)
collocoll,bell,колокол(kolokol)
crack,"to break up, smash",—
crark,to howl,Blend of *crow* +‎ *bark*
crast,"steal, rob, robbery","красть(krastʹ, “to steal”)"
creech,"to shout, scream",кричать(kričatʹ)
cutter,money,From Cockney rhyming slang derived from *bread-and-butter*
dama,lady,дама(dama); cf Dame
decrep,elder,"Short for ""decrepit"""
"ded, dedoochka",old man,"дед(ded), дедушка(deduška, “grandfather”), coll. ""old man"""
deng,money,деньги(denʹgi)
devotchka,young woman,"девочка(devočka, “girl”)"
dobby,good,"добрый(dobryj, “kind, good”)"
dook,"trace, ghost","дух(dux, literally “spirit”); Romani*dook*(“magic”)"
domy,house,дом(dom)
dorogoy,"dear, valuable, expensive",дорогой(dorogoj)
dratsing,fighting,"драться(dratʹsja, “to fight”)"
drencrom,drug,Possibly *adrenochrome*
droog,friend,"друг(drug, “friend”)"
droogie,friendly,"дружелюбно(druželjubno, “friendly”)"
dung,to defecate,—
dva,two,два(dva)
eegra,game,игра(igra)
eemya,name,имя(imja)
eggiweg,egg,Reduplication of *egg*
em,mother,"Derived from the first letter of ""mother""."
espresso rapido,train,"""fast express"" in Italian"
eunuch jelly,gutless coward,
fag,"tire, exhaust",English slang. Not exclusively Nadsat.
faggy/fagged,"tired, exhausted",
fashed,"bothered, annoyed, tired",Scots*fash*
filly,to play or fool around with,"Dim. of ""fiddle"", cf filly (horse)"
filmdrome,cinema,"From δρόμος(drómos, “course”), meaning ""place for doing films""."
firegold,strong drink,"? ""firewater"""
fist,to punch,"From Engl. fist, cf удар кулаком, БИТЬ кулаком"
flatblock,"block of flats, apartment block",
flip,wild,From Eng. slang *to flip out*(“to go mad/crazy”)
forella,"trout, old lady","форель(forelʹ), from German*Forelle*"
fuzzy,scratchy,
gazetta,newspaper,"газета(gazeta), cf *gazette*"
"glazz, glazzies, glazzballs","Eye, eyes (also used to refer to nipples)",глаз(glaz)
gloopy,stupid,глупый(glupyj)
glory,hair,"Poss. a ref to 1 Corinthians 11:15: ""if a woman have long hair, it is a 
glory to her: for her hair is given her for a covering."""
godman,"priest, chaplain",
golly,unit of money,"Rhyming slang, ""lolly,"" or ""pretty polly"""
goloss,voice/tone,голос(golos)
goober,lip,губа(guba)
gooly,to walk,гулять(guljatʹ)
gorlo,throat,горло(gorlo)
govoreet,speak,говорить(govoritʹ)
grahzny,dirty,грязный(grjaznyj)
grape,uvula,Poss. from its appearance.
grazzy,soiled,"грязь(grjazʹ, “dirt”), грязный(grjaznyj, “dirty”)"
gromky,loud,громкий(gromkij)
groody,breast,"грудь(grudʹ, “breast”), груди pl(grudi, “breasts”)"
gruppa,group,группа(gruppa)
"guff, guffaw",laugh,guffaw
gulliver,head,"голова(golova); Nadsat form influenced by the titular character of *Gulliver's 
Travels*"
guttiwuts,guts,Reduplication of *guts*
hen-korm,chickenfeed,"Engl. hen + корм(korm, noun, literally “feed”), but cf corn"
horn,to cry out,—
horrorshow (xorosho),"good, well, wonderful, excellent","хорошо(xorošo, “well, good”)"
hound-and-horny,corny,Rhyming slang
"in-out in-out, the old in and out",sexual intercourse,—
